Grouping,Politician,Usernames,Party,State,AccountID,AccountID_1,AccountID_2
52,"Brown, Shontel",RepShontelBrown,D,OH,1456381091598700556,1456381091598700,556
52,"Brown, Shontel",ShontelMBrown,D,OH,20609133,2060,9133
52,"Murray, Patty",PattyMurray,D,WA,293131808,2931,31808
52,"Murray, Patty",MurrayCampaign,D,WA,158470209,1584,70209
52,"Carey, Mike",RepMikeCarey,R,OH,1457745193197780993,14577451931977,80993
52,"Carey, Mike",MikeCareyOH15,R,OH,1393186215466254336,13931862154662,54336
52,"Klobuchar, Amy",SenAmyKlobuchar,D,MN,22044727,220,44727
53,"Aderholt, Robert",Robert_Aderholt,R,AL,76452765,764,52765
53,"Lesko, Debbie",RepDLesko,R,AZ,996094929733652481,9960949297336,52481
53,"Lesko, Debbie",DebbieLesko,R,AZ,34715823,347,15823
53,"Barragán, Nanette",RepBarragan,D,CA,816833925456789505,8168339254567,89505
53,"Barragán, Nanette",Nanette4CA,D,CA,303633791,3036,33791
53,"Peters, Gary C.",SenGaryPeters,D,MI,236511574,2365,11574
53,"Peters, Gary C.",GaryPeters,D,MI,145292853,1452,92853
53,"Thune, John",SenJohnThune,R,SD,296361085,2963,61085
53,"Thune, John",johnthune,R,SD,26533227,265,33227
53,"Mullin, Markwayne",SenMullin,R,OK,1060370282,10603,70282
53,"Mullin, Markwayne",MarkwayneMullin,R,OK,366304362,36630,4362
53,"Brownley, Julia",RepBrownley,D,CA,1243902714,124390,2714
53,"Brownley, Julia",JuliaBrownley,D,CA,44251742,442,51742
53,"Paul, Rand",RandPaul,R,KY,216881337,2168,81337
53,"Paul, Rand",SenRandPaul,R,KY,1298624375692894210,12986243756928,94210
53,"Paul, Rand",DrRandPaul,R,KY,39834947,398,34947
53,"Rouzer, David",RepDavidRouzer,R,NC,834069080,8340,69080
53,"Rouzer, David",DavidRouzer,R,NC,127941167,1279,41167
54,"Graves, Garret",RepGarretGraves,R,LA,2951574214,29515,74214
54,"Graves, Garret",garretgraves,R,LA,587100576,587100,576
54,"Leger Fernandez, Teresa",RepTeresaLF,D,NM,1345147845926670337,13451478459266,70337
54,"Leger Fernandez, Teresa",TeresaForNM,D,NM,1128147829606600706,1128147829606600,706
54,"Gaetz, Matt",RepMattGaetz,R,FL,818948638890217473,8189486388902,17473
54,"Gaetz, Matt",mattgaetz,R,FL,58579942,585,79942
54,"Nunn, Zachary",NunnForCongress,R,IA,1412368005728722947,14123680057287,22947
54,"Wicker, Roger F.",SenatorWicker,R,MS,264219447,2642,19447
54,"Wicker, Roger F.",RogerWicker,R,MS,11650762,116,50762
54,"Grijalva, Raul",RepRaulGrijalva,D,AZ,28602948,2860,2948
54,"Grijalva, Raul",standwithraul,D,AZ,135623073,1356,23073
54,"Banks, Jim",RepJimBanks,R,IN,816131319033950208,8161313190339,50208
54,"Banks, Jim",TeamJimBanks,R,IN,997253315237822468,9972533152378,22468
54,"Banks, Jim",Jim_Banks,R,IN,14836282,148,36282
54,"Schmitt, Eric",SenEricSchmitt,R,MO,1603540143872385026,16035401438723,85026
54,"Schmitt, Eric",Schmitt4Senate,R,MO,1374687650226053122,13746876502260,53122
54,"Schmitt, Eric",Eric_Schmitt,R,MO,101852818,1018,52818
54,"Womack, Steve",rep_stevewomack,R,AR,234469322,2344,69322
54,"Womack, Steve",womack4congress,R,AR,112651673,1126,51673
55,"Gomez, Jimmy",RepJimmyGomez,D,CA,2371339658,23713,39658
55,"Gomez, Jimmy",JimmyGomezCA,D,CA,398193180,3981,93180
55,"Bera, Ami",RepBera,D,CA,950783972,9507,83972
55,"Bera, Ami",BeraForCongress,D,CA,43986986,439,86986
55,"Hern, Kevin",repkevinhern,R,OK,1067818539179024386,10678185391790,24386
55,"Hern, Kevin",krhern,R,OK,19168067,191,68067
55,"Hassan, Margaret Wood",SenatorHassan,D,NH,946549322,9465,49322
55,"Hassan, Margaret Wood",Maggie_Hassan,D,NH,361569788,3615,69788
55,"Joyce, David",RepDaveJoyce,R,OH,976969338,9769,69338
55,"Joyce, David",DaveJoyceOH14,R,OH,727242919,7272,42919
55,"Tuberville, Tommy",SenTuberville,R,AL,1345739193721487362,13457391937214,87362
55,"Tuberville, Tommy",TTuberville,R,AL,110798061,1107,98061
55,"Budd, Ted",SenTedBuddNC,R,NC,817138492614524928,8171384926145,24928
55,"Budd, Ted",TedBuddNC,R,NC,720353279176081408,7203532791760,81408
55,"Hoeven, John",SenJohnHoeven,R,ND,382791093,3827,91093
55,"Hoeven, John",hoeven4senate,R,ND,106733567,1067,33567
55,"Smucker, Lloyd",RepSmucker,R,PA,41417564,414,17564
55,"Smucker, Lloyd",LloydSmuckerPA,R,PA,4212470319,42124,70319
56,"Hunt, Wesley",RepWPH,R,TX,1602751001756311556,16027510017563,11556
56,"Hunt, Wesley",WesleyHuntTX,R,TX,1112744620247662592,11127446202476,62592
56,"Crapo, Mike",MikeCrapo,R,ID,600463589,6004,63589
56,"Crapo, Mike",crapoforsenate,R,ID,413160266,4131,60266
56,"Miller-Meeks, Mariannette",RepMMM,R,IA,1345807954604412929,13458079546044,12929
56,"Miller-Meeks, Mariannette",millermeeks,R,IA,18131106,181,31106
56,"Wittman, Robert J.",RobWittman,R,VA,15356407,153,56407
56,"Wittman, Robert J.",ReElectWittman,R,VA,46184745,461,84745
56,"Higgins, Brian",RepBrianHiggins,D,NY,33576489,335,76489
56,"Rosen, Jacky",SenJackyRosen,D,NV,818554054309715969,8185540543097,15969
56,"Santos, George",RepSantosNY03,R,NY,1615397155027525633,16153971550275,25633
56,"Santos, George",Santos4Congress,R,NY,1174153996363345921,11741539963633,45921
56,"McGovern, James",RepMcGovern,D,MA,242426145,2424,26145
56,"McGovern, James",McGovernMA,D,MA,128664931,1286,64931
56,"Stevens, Haley",RepHaleyStevens,D,MI,1076161611033968640,10761616110339,68640
56,"Stevens, Haley",HaleyLive,D,MI,391445643,3914,45643
57,"Lummis, Cynthia M.",SenLummis,R,WY,22831059,228,31059
57,"Lummis, Cynthia M.",CynthiaMLummis,R,WY,1136711154435207168,113671115443520,7168
57,"Casten, Sean",RepCasten,D,IL,1083472286089396224,10834722860893,96224
57,"Casten, Sean",SeanCasten,D,IL,66804351,6680,4351
57,"Menendez, Bob",SenatorMenendez,D,NJ,18695134,186,95134
57,"Menendez, Bob",BobMenendezNJ,D,NJ,407039290,4070,39290
57,"Hawley, Josh",HawleyMO,R,MO,2352629311,23526,29311
57,"Hawley, Josh",SenHawleyPress,R,MO,1080960924687704064,108096092468770,4064
57,"Stabenow, Debbie",SenStabenow,D,MI,76456274,764,56274
57,"Houchin, Erin",RepHouchin,R,IN,1603694348725526528,16036943487255,26528
57,"Houchin, Erin",Erin_Houchin,R,IN,2327983291,23279,83291
57,"Bentz, Cliff",RepBentz,R,OR,1345788865911656454,13457888659116,56454
57,"Bentz, Cliff",CliffBentz,R,OR,1216104257989963776,12161042579899,63776
57,"Cruz, Ted",SenTedCruz,R,TX,1074480192,10744,80192
57,"Cruz, Ted",tedcruz,R,TX,23022687,230,22687
57,"Ferguson, A. Drew",RepDrewFerguson,R,GA,806583915012046854,8065839150120,46854
57,"Ferguson, A. Drew",DrewFergusonGA,R,GA,694984534249594882,6949845342495,94882
58,"Pocan, Mark",RepMarkPocan,D,WI,1206227149,12062,27149
58,"Pocan, Mark",MarkPocan,D,WI,309070309,3090,70309
58,"Sorensen, Eric",RepEricSorensen,D,IL,1611441794704674828,16114417947046,74828
58,"Sorensen, Eric",ericsorenson,D,IL,27898864,278,98864
58,"Armstrong, Kelly",RepArmstrongND,R,ND,1080515866255593472,10805158662555,93472
58,"Armstrong, Kelly",Armstrong_ND,R,ND,964996994623311874,9649969946233,11874
58,"Armstrong, Kelly",armstrong_km,R,ND,1426714956,14267,14956
58,"Cramer, Kevin",SenKevinCramer,R,ND,1048784496,10487,84496
58,"Guthrie, S. Brett",RepGuthrie,R,KY,1908143071,19081,43071
58,"Guthrie, S. Brett",brettguthrie,R,KY,114607567,11460,7567
58,"Lawler, Michael",RepMikeLawler,R,NY,1590372047015886853,15903720470158,86853
58,"Lawler, Michael",lawler4ny,R,NY,260026173,2600,26173
58,"LaTurner, Jake",RepLaTurner,R,KS,1345850704800468993,13458507048004,68993
58,"LaTurner, Jake",JakeLaTurner,R,KS,1082329240681492481,10823292406814,92481
58,"Cuellar, Henry",RepCuellar,D,TX,210926192,2109,26192
58,"Cuellar, Henry",CuellarCampaign,D,TX,1239664741,12396,64741
58,"Newhouse, Dan",RepNewhouse,R,WA,2930635215,29306,35215
58,"Newhouse, Dan",Newhouse4Rep,R,WA,2375967966,23759,67966
59,"Hinson, Ashley",RepAshleyHinson,R,IA,1340783304304410625,13407833043044,10625
59,"Hinson, Ashley",hinsonashley,R,IA,18189966,181,89966
59,"Carter, Buddy",RepBuddyCarter,R,GA,2973870195,29738,70195
59,"Carter, Buddy",Buddy_Carter,R,GA,295712099,2957,12099
59,"Carper, Thomas R.",SenatorCarper,D,DE,249787913,2497,87913
59,"Meeks, Gregory W.",RepGregoryMeeks,D,NY,22812754,228,12754
59,"Meeks, Gregory W.",GregMeeksNYC,D,NY,1092782048157331456,10927820481573,31456
59,"Ezell, Mike",RepEzell,R,MS,1602788004749344768,16027880047493,44768
59,"Ezell, Mike",MikeEzellMS,R,MS,1377293395333246981,13772933953332,46981
59,"Ezell, Mike",MikeEzell11,R,MS,1164628011481800704,1164628011481800,704
59,"Hoyle, Val T.",RepValHoyle,D,OR,1612865196489412608,16128651964894,12608
59,"Hoyle, Val T.",ValHoyle,D,OR,118612783,1186,12783
59,"Arrington, Jodey",RepArrington,R,TX,816284664658874368,8162846646588,74368
59,"Arrington, Jodey",JodeyArrington,R,TX,3609064098,36090,64098
59,"Ross, Deborah K.",RepDeborahRoss,D,NC,1348683154815655940,13486831548156,55940
59,"Ross, Deborah K.",DeborahRossNC,D,NC,3806081652,38060,81652
59,"Sherrill, Mikie",RepSherrill,D,NJ,1080569698536878081,10805696985368,78081
59,"Sherrill, Mikie",MikieSherrill,D,NJ,1577754348,15777,54348
60,"Van Duyne, Beth",RepBethVanDuyne,R,TX,1339633259349745670,13396332593497,45670
60,"Van Duyne, Beth",Bethvanduyne,R,TX,489856457,4898,56457
60,"Steel, Michelle",RepSteel,R,CA,1343740146630451200,13437401466304,51200
60,"Steel, Michelle",MichelleSteelCA,R,CA,1122934522134315009,11229345221343,15009
60,"Beatty, Joyce",RepBeatty,D,OH,1531521632,15315,21632
60,"Beatty, Joyce",JoyceBeatty,D,OH,582070020,5820,70020
60,"Estes, Ron",RepRonEstes,R,KS,854715071116849157,8547150711168,49157
60,"Estes, Ron",RonEstesKS,R,KS,722555010588872705,7225550105888,72705
60,"Strong, Dale W.",RepDaleStrong,R,AL,825191196775546883,8251911967755,46883
60,"Tlaib, Rashida",RepRashida,D,MI,1079769536730140672,10797695367301,40672
60,"Tlaib, Rashida",RashidaTlaib,D,MI,435331179,4353,31179
60,"Coons, Christopher A.",ChrisCoons,D,DE,15324851,153,24851
60,"Coons, Christopher A.",ChrisCoonsforDE,D,DE,823302838524739584,8233028385247,39584
60,"McHenry, Patrick T.",PatrickMcHenry,R,NC,27676828,276,76828
60,"McHenry, Patrick T.",McHenryCampaign,R,NC,481437062,4814,37062
60,"Thanedar, Shri",RepShriThanedar,D,MI,1610719275265802253,161071927526580,2253
60,"Thanedar, Shri",ShriThanedar,D,MI,2965326656,29653,26656
61,"Young, Todd",SenToddYoung,R,IN,234128524,2341,28524
61,"Young, Todd",ToddYoungIN,R,IN,59969802,599,69802
61,"Kelly, Mark",SenMarkKelly,D,AZ,1324926274888888320,13249262748888,88320
61,"Kelly, Mark",CaptMarkKelly,D,AZ,65707359,6570,7359
61,"McGarvey, Morgan",RepMcGarvey,D,KY,1610300298303787008,16103002983037,87008
61,"McGarvey, Morgan",MorganMcGarvey,D,KY,389242668,3892,42668
61,"Fallon, Pat",RepPatFallon,R,TX,1343258042704527362,13432580427045,27362
61,"Fallon, Pat",FallonForTexas,R,TX,256157258,2561,57258
61,"Huffman, Jared",RepHuffman,D,CA,1071102246,107110,2246
61,"Huffman, Jared",JaredHuffman,D,CA,334894942,3348,94942
